阶段,日期,天次,优先级,模块,视频编号,视频标题,时长,学习目标,完成情况
PMP备考期,2026/6/10,Day 6,辅线,IP地址,P36,数据通信13-子网划分,21:53,子网掩码与CIDR,
PMP备考期,2026/6/11,Day 7,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/11,Day 7,辅线,路由基础,P37,数据通信14-路由基础和静态路由,30:47:00,路由表概念,
PMP备考期,2026/6/12,Day 8,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
PMP备考期,2026/6/12,Day 8,辅线,交换基础,P43,数据通信20-以太网交换基础,31:04:00,MAC地址与交换机工作原理,
PMP备考期,2026/6/13,Day 9,主线,PMP,—,模拟考试 + 错题复习,全天,PMP冲刺,
,,,,,,,,,
PMP备考期,2026/6/14,—,主线,PMP,—,PMP正式考试,—,全力以赴,
,,,,,,,,,
HCIP系统学习期,2026/6/15,Week1 Day1,必学,网工扫盲,P01-P03,行业介绍+学习路线图+课程介绍,34:37:00,全局认知建立,
HCIP系统学习期,2026/6/15,Week1 Day1,必学,网工入门,P04-P06,网工入门01-03（薪资/岗位/eNSP安装）,25:57:00,职业认知+工具准备,
HCIP系统学习期,2026/6/16,Week1 Day2,必学,网工入门,P07-P09,网工入门04-06（认识设备/通信原理/IP配置）,39:44:00,设备认知+IP基础,
HCIP系统学习期,2026/6/16,Week1 Day2,必学,网工入门,P10-P12,网工入门07-09（DHCP/DNS/路由基础）,21:13,常见服务原理,
HCIP系统学习期,2026/6/17,Week1 Day3,必学,网工入门,P13-P15,网工入门10-12（静态路由/TCP&UDP/VLAN）,40:54:00,路由+传输层+VLAN,
HCIP系统学习期,2026/6/18,Week1 Day4,必学,网工入门,P16-P18,网工入门13-15（Trunk/三层交换/单臂路由）,20:44,VLAN间通信三种方式,
HCIP系统学习期,2026/6/18,Week1 Day4,必学,网工入门,P19-P21,网工入门16-18（ACL/NAT/服务器发布）,33:38:00,安全控制+地址转换,
HCIP系统学习期,2026/6/19,Week1 Day5,必学,网工入门,P22-P23,网工入门19-20（Telnet/综合实验）,22:04,远程管理+综合实践,
HCIP系统学习期,2026/6/19,Week1 Day5,必学,数据通信,P23,数据通信00-常见网络设备,26:49:00,设备深入认知,
HCIP系统学习期,2026/6/20,Week1 Day6,必学,数据通信,P24-P26,数据通信01-03（参考模型上下+各层协议）,60:56:00,OSI+TCP/IP深入理解,
HCIP系统学习期,2026/6/21,Week1 Day7,复习,—,—,Week1复习+eNSP实验补做,—,巩固第一周内容,
HCIP系统学习期,2026/6/21,Week1 Day7,复习,故障感知,故障01,故障排查01-05（真实案例）,~40分钟,,
,,,,,,,,,
HCIP系统学习期,2026/6/22,Week2 Day1,必学,数据通信,P27-P30,数据通信04-07（通信过程/VRP简介/设备管理基础/两种方法）,54:23:00,华为VRP系统入门,
HCIP系统学习期,2026/6/23,Week2 Day2,必学,数据通信,P31-P32,数据通信08-09（命令行基础/VRP基本配置命令）,37:18:00,华为CLI操作,
HCIP系统学习期,2026/6/24,Week2 Day3,必学,数据通信,P33-P36,数据通信10-13（IP协议/IP地址基础/分类/子网划分）,81:56:00,IP地址体系深入,
HCIP系统学习期,2026/6/25,Week2 Day4,必学,数据通信,P37-P38,数据通信14-15（路由基础+静态路由/路由高级特性）,48:26:00,路由精讲,
HCIP系统学习期,2026/6/26,Week2 Day5,必学,数据通信,P39-P42,数据通信16-19（OSPF基本概念/报文/工作原理/性能优化）,62:20:00,OSPF核心（HCIP重点）,
HCIP系统学习期,2026/6/27,Week2 Day6,必学,数据通信,P43-P45,数据通信20-22（以太网交换基础/VLAN原理配置/VLAN间通信）,96:12:00,交换技术深入,
HCIP系统学习期,2026/6/28,Week2 Day7,复习,—,—,Week2复习+OSPF专项练习,—,OSPF是HCIP核心考点,
,,,,,,,,,
HCIP系统学习期,2026/6/29,Week3 Day1,必学,数据通信,P46-P48,数据通信23-25（STP生成树上中下）,74:51:00,STP防环机制（HCIP重点）,
HCIP系统学习期,2026/6/30,Week3 Day2,必学,数据通信,P49-P50,数据通信26-27（链路聚合/ACL）,52:42:00,可靠性+安全,
HCIP系统学习期,2026/7/1,Week3 Day3,必学,数据通信,P51-P53,数据通信28-30（AAA/NAT/网络服务上）,57:33:00,认证+地址转换+服务,
HCIP系统学习期,2026/7/2,Week3 Day4,必学,数据通信,P54-P57,数据通信31-34（网络服务下/WLAN概述/WLAN工作原理配置/广域网）,157:42:00,无线网络+广域网,
HCIP系统学习期,2026/7/3,Week3 Day5,必学,数据通信,P58-P62,数据通信35-39（网络管理运维/IPv6/SDN&NFV/网络编程自动化/园区网案例）,116:21:00,运维+新技术趋势,
HCIP系统学习期,2026/7/4,Week3 Day6,必学,实验讲解,实验01-07,VLAN间通信+链路聚合+ACL实验讲解,94:59:00,动手实验强化,
HCIP系统学习期,2026/7/5,Week3 Day7,复习,—,—,Week3复习+STP/WLAN专项练习,—,巩固交换技术,
,,,,,,,,,
HCIP系统学习期,2026/7/6,Week4 Day1,必学,实验讲解,实验08-11,NAT实验讲解全集,25:17:00,NAT四种方式实验,
HCIP系统学习期,2026/7/6,Week4 Day1,必学,各厂商配置,厂商01-06,DHCP/NAT/VLAN（华为/H3C/锐捷/思科对比）,~35分钟,多厂商横向对比,
HCIP系统学习期,2026/7/7,Week4 Day2,必学,各厂商配置,厂商07-12,静态路由（华为/H3C/思科/锐捷对比）,~25分钟,多厂商路由命令对比,
HCIP系统学习期,2026/7/7,Week4 Day2,必学,故障排查,故障01-10,故障排查01-10（POE掉线/带宽不足/Trunk/广播/端口安全等）,~65分钟,真实工单场景,
HCIP系统学习期,2026/7/8,Week4 Day3,必学,故障排查,故障11-20,故障排查11-20（AP不上线/策略路由/BGP/TTL/DHCP中继/防火墙）,~60分钟,进阶故障场景,
HCIP系统学习期,2026/7/9,Week4 Day4,必学,全栈网工,全栈01-17,全栈网工01-17（公司/架构/设备功能/参考模型应用）,~60分钟,企业实际组网认知,
HCIP系统学习期,2026/7/10,Week4 Day5,必学,全栈网工,全栈18-21,全栈网工18-21（高可靠园区网：网关冗余/网络服务/网络安全）,121:24:00,VRRP高可靠组网（HCIP重点）,
HCIP系统学习期,2026/7/11,Week4 Day6,必学,全栈网工,全栈22-24,全栈网工22-24（组播地址/IGMP/PIM）,~3.5小时,组播技术（HCIP重点难点）,
HCIP系统学习期,2026/7/12,Week4 Day7,复习,—,—,Week4复习+VRRP/组播专项,—,—,
,,,,,,,,,
HCIP系统学习期,2026/7/13,Week5 Day1,必学,全栈网工,全栈25-30,全栈网工25-30（IPv6全系列：概述/特点/单播/组播/ICMPv6/NDP）,~4.5小时,IPv6完整体系,
HCIP系统学习期,2026/7/15,Week5 Day3,必学,全栈网工,全栈31,全栈网工31-IPv6过渡技术,1.173611111,双栈/隧道/NAT64,
HCIP系统学习期,2026/7/16,Week5 Day4,必学,全栈网工,全栈32-38,全栈网工32-38（VxLAN背景/基本概念/工作原理/静态隧道/EVPN分布式网关）,~80分钟,数据中心网络虚拟化,
HCIP系统学习期,2026/7/17,Week5 Day5,必学,项目实战,项目01-14,项目实战01-14（完整园区网项目：防火墙/VLAN/VRRP）,~100分钟,综合项目实战,
HCIP系统学习期,2026/7/18,Week5 Day6,必学,CE云计算,CE00-CE10,CE云计算00-10（传统IT变革/虚拟化/云计算概念/网络基础）,~150分钟,云计算基础认知,
HCIP系统学习期,2026/7/19,Week5 Day7,复习,—,—,Week5复习+IPv6/VxLAN专项,—,—,
,,,,,,,,,
HCIP系统学习期,2026/7/20,Week6 Day1,选学,CE云计算,CE11-CE20,CE云计算11-20（存储架构/协议/FC/RAID/高级特性/服务器基础）,~120分钟,存储+服务器知识,
HCIP系统学习期,2026/7/21,Week6 Day2,选学,CE云计算,CE21-CE35,CE云计算21-35（CAS部署/虚拟化管理/云服务/维护管理）,~250分钟,H3C云平台操作,
HCIP系统学习期,2026/7/22,Week6 Day3,必学,综合复习,—,HCIA核心考点全复习（OSI/IP/OSPF/STP/VLAN/ACL/NAT）,全天,查漏补缺,
HCIP系统学习期,2026/7/23,Week6 Day4,必学,综合复习,—,HCIP核心考点全复习（OSPF高级/BGP/VRRP/组播/IPv6/VxLAN）,全天,查漏补缺,
HCIP系统学习期,2026/7/24,Week6 Day5,必学,模拟考试,—,华为HCIP模拟题刷题（建议用华为官方题库）,全天,考前冲刺,
HCIP系统学习期,2026/7/25,Week6 Day6,必学,模拟考试,—,错题复习+薄弱点专项补强,全天,最终冲刺,
HCIP系统学习期,2026/7/26,Week6 Day7,—,—,—,休息/轻度复习,—,保持状态,
