"1级分类","1级功能描述","2级分类","2级功能描述","3级分类","3级功能描述","4级分类","4级功能描述","5级分类","5级功能描述","关键技术点","典型场景","优先级","Apstra支持状态","Apstra支持说明","CloudVision支持状态","CloudVision支持说明","iMaster NCE-Fabric + FabricInsight支持状态","iMaster NCE-Fabric + FabricInsight支持说明","AmpCon-DC（FS/Pica8）支持状态","AmpCon-DC（FS/Pica8）支持说明"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","硬件状态","对硬件状态相关状态、指标和关系进行集中展示与持续跟踪。","板卡状态","板卡状态用于持续展示和跟踪在线、离线、故障、重启。","在线、离线、故障、重启","明确板卡状态覆盖的具体对象、状态或指标，包括在线、离线、故障、重启。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：在线、离线、故障、重启","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：在线、离线、故障、重启","P0（核心）","支持","板卡状态：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 在线、离线、故障、重启。","支持","板卡状态：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 在线、离线、故障、重启。","支持","板卡状态：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 在线、离线、故障、重启，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","板卡状态：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 在线、离线、故障、重启；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","硬件状态","对硬件状态相关状态、指标和关系进行集中展示与持续跟踪。","电源状态","电源状态用于持续展示和跟踪输入、输出、功率、冗余、故障。","输入、输出、功率、冗余、故障","明确电源状态覆盖的具体对象、状态或指标，包括输入、输出、功率、冗余、故障。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：输入、输出、功率、冗余、故障","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：输入、输出、功率、冗余、故障","P0（核心）","支持","电源状态：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 输入、输出、功率、冗余、故障。","支持","电源状态：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 输入、输出、功率、冗余、故障。","支持","电源状态：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 输入、输出、功率、冗余、故障，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","电源状态：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 输入、输出、功率、冗余、故障；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","硬件状态","对硬件状态相关状态、指标和关系进行集中展示与持续跟踪。","风扇状态","风扇状态用于持续展示和跟踪转速、运行状态、故障。","转速、运行状态、故障","明确风扇状态覆盖的具体对象、状态或指标，包括转速、运行状态、故障。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：转速、运行状态、故障","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：转速、运行状态、故障","P0（核心）","支持","风扇状态：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 转速、运行状态、故障。","支持","风扇状态：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 转速、运行状态、故障。","支持","风扇状态：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 转速、运行状态、故障，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","风扇状态：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 转速、运行状态、故障；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","环境状态","对环境状态相关状态、指标和关系进行集中展示与持续跟踪。","温度监控","温度监控用于持续展示和跟踪当前温度、阈值、历史趋势。","当前温度、阈值、历史趋势","明确温度监控覆盖的具体对象、状态或指标，包括当前温度、阈值、历史趋势。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：当前温度、阈值、历史趋势","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：当前温度、阈值、历史趋势","P0（核心）","支持","温度监控：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 当前温度、阈值、历史趋势。","支持","温度监控：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 当前温度、阈值、历史趋势。","支持","温度监控：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 当前温度、阈值、历史趋势，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","温度监控：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 当前温度、阈值、历史趋势。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","环境状态","对环境状态相关状态、指标和关系进行集中展示与持续跟踪。","电压与功耗","电压与功耗用于持续展示和跟踪电压、电流、功率、能耗。","电压、电流、功率、能耗","明确电压与功耗覆盖的具体对象、状态或指标，包括电压、电流、功率、能耗。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：电压、电流、功率、能耗","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：电压、电流、功率、能耗","P0（核心）","支持","电压与功耗：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 电压、电流、功率、能耗。","支持","电压与功耗：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 电压、电流、功率、能耗。","支持","电压与功耗：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 电压、电流、功率、能耗，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","电压与功耗：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 电压、电流、功率、能耗；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","系统性能","对系统性能相关状态、指标和关系进行集中展示与持续跟踪。","CPU监控","CPU监控用于持续展示和跟踪当前值、峰值、平均值、趋势。","当前值、峰值、平均值、趋势","明确CPU监控覆盖的具体对象、状态或指标，包括当前值、峰值、平均值、趋势。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：当前值、峰值、平均值、趋势","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：当前值、峰值、平均值、趋势","P0（核心）","支持","CPU监控：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 当前值、峰值、平均值、趋势。","支持","CPU监控：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 当前值、峰值、平均值、趋势。","支持","CPU监控：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 当前值、峰值、平均值、趋势，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","CPU监控：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 当前值、峰值、平均值、趋势。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","系统性能","对系统性能相关状态、指标和关系进行集中展示与持续跟踪。","内存监控","内存监控用于持续展示和跟踪已用、可用、利用率、趋势。","已用、可用、利用率、趋势","明确内存监控覆盖的具体对象、状态或指标，包括已用、可用、利用率、趋势。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：已用、可用、利用率、趋势","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：已用、可用、利用率、趋势","P0（核心）","支持","内存监控：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 已用、可用、利用率、趋势。","支持","内存监控：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 已用、可用、利用率、趋势。","支持","内存监控：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 已用、可用、利用率、趋势，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","内存监控：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 已用、可用、利用率、趋势。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","系统性能","对系统性能相关状态、指标和关系进行集中展示与持续跟踪。","存储监控","存储监控用于持续展示和跟踪磁盘空间、日志空间、利用率。","磁盘空间、日志空间、利用率","明确存储监控覆盖的具体对象、状态或指标，包括磁盘空间、日志空间、利用率。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：磁盘空间、日志空间、利用率","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：磁盘空间、日志空间、利用率","P0（核心）","支持","存储监控：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 磁盘空间、日志空间、利用率。","支持","存储监控：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 磁盘空间、日志空间、利用率。","支持","存储监控：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 磁盘空间、日志空间、利用率，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","存储监控：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 磁盘空间、日志空间、利用率；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","系统状态","对系统状态相关状态、指标和关系进行集中展示与持续跟踪。","进程与服务","进程与服务用于持续展示和跟踪Agent、Telemetry、协议进程、服务状态。","Agent、Telemetry、协议进程、服务状态","明确进程与服务覆盖的具体对象、状态或指标，包括Agent、Telemetry、协议进程、服务状态。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：Agent、Telemetry、协议进程、服务状态","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：Agent、Telemetry、协议进程、服务状态","P0（核心）","支持","进程与服务：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Agent、Telemetry、协议进程、服务状态。","支持","进程与服务：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Agent、Telemetry、协议进程、服务状态。","支持","进程与服务：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Agent、Telemetry、协议进程、服务状态，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","进程与服务：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 Agent、Telemetry、协议进程、服务状态；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","设备监控","持续监控网络设备资产、硬件、环境、资源和系统运行状态。","系统状态","对系统状态相关状态、指标和关系进行集中展示与持续跟踪。","启动与运行时间","启动与运行时间用于持续展示和跟踪Boot Time、Uptime、最近重启原因。","Boot Time、Uptime、最近重启原因","明确启动与运行时间覆盖的具体对象、状态或指标，包括Boot Time、Uptime、最近重启原因。","Inventory、SNMP/gNMI/Streaming Telemetry、硬件与系统指标；具体范围：Boot Time、Uptime、最近重启原因","资产盘点、设备巡检、硬件故障发现与资源异常定位；关注：Boot Time、Uptime、最近重启原因","P0（核心）","支持","启动与运行时间：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Boot Time、Uptime、最近重启原因。","支持","启动与运行时间：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Boot Time、Uptime、最近重启原因。","支持","启动与运行时间：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Boot Time、Uptime、最近重启原因，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","启动与运行时间：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 Boot Time、Uptime、最近重启原因；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","接口状态","对接口状态相关状态、指标和关系进行集中展示与持续跟踪。","管理与运行状态","管理与运行状态用于持续展示和跟踪Admin Up/Down、Oper Up/Down。","Admin Up/Down、Oper Up/Down","明确管理与运行状态覆盖的具体对象、状态或指标，包括Admin Up/Down、Oper Up/Down。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：Admin Up/Down、Oper Up/Down","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：Admin Up/Down、Oper Up/Down","P0（核心）","支持","管理与运行状态：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Admin Up/Down、Oper Up/Down。","支持","管理与运行状态：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Admin Up/Down、Oper Up/Down。","支持","管理与运行状态：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Admin Up/Down、Oper Up/Down，仍需按目标版本、License 与 CloudEngine 型号核对。","支持","管理与运行状态：AmpCon-DC 内置 Telemetry，v2.2.0 官方发布说明明确覆盖端口状态及 BGP 邻居状态；覆盖 Admin Up/Down、Oper Up/Down。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","接口状态","对接口状态相关状态、指标和关系进行集中展示与持续跟踪。","速率与双工","速率与双工用于持续展示和跟踪10G、25G、100G、400G、800G。","10G、25G、100G、400G、800G","明确速率与双工覆盖的具体对象、状态或指标，包括10G、25G、100G、400G、800G。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：10G、25G、100G、400G、800G","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：10G、25G、100G、400G、800G","P0（核心）","支持","速率与双工：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 10G、25G、100G、400G、800G。","支持","速率与双工：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 10G、25G、100G、400G、800G。","支持","速率与双工：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 10G、25G、100G、400G、800G，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","速率与双工：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 10G、25G、100G、400G、800G。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","接口状态","对接口状态相关状态、指标和关系进行集中展示与持续跟踪。","MTU与FEC","MTU与FEC用于持续展示和跟踪MTU、FEC模式、FEC错误。","MTU、FEC模式、FEC错误","明确MTU与FEC覆盖的具体对象、状态或指标，包括MTU、FEC模式、FEC错误。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：MTU、FEC模式、FEC错误","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：MTU、FEC模式、FEC错误","P0（核心）","支持","MTU与FEC：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 MTU、FEC模式、FEC错误。","支持","MTU与FEC：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 MTU、FEC模式、FEC错误。","支持","MTU与FEC：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 MTU、FEC模式、FEC错误，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","MTU与FEC：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 MTU、FEC模式、FEC错误。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","流量指标","对流量指标相关状态、指标和关系进行集中展示与持续跟踪。","收发流量","收发流量用于持续展示和跟踪In/Out bps、pps、bytes、packets。","In/Out bps、pps、bytes、packets","明确收发流量覆盖的具体对象、状态或指标，包括In/Out bps、pps、bytes、packets。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：In/Out bps、pps、bytes、packets","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：In/Out bps、pps、bytes、packets","P0（核心）","支持","收发流量：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 In/Out bps、pps、bytes、packets。","支持","收发流量：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 In/Out bps、pps、bytes、packets。","支持","收发流量：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 In/Out bps、pps、bytes、packets，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","收发流量：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 In/Out bps、pps、bytes、packets。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","流量指标","对流量指标相关状态、指标和关系进行集中展示与持续跟踪。","带宽利用率","带宽利用率用于持续展示和跟踪当前、平均、峰值、95分位。","当前、平均、峰值、95分位","明确带宽利用率覆盖的具体对象、状态或指标，包括当前、平均、峰值、95分位。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：当前、平均、峰值、95分位","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：当前、平均、峰值、95分位","P0（核心）","支持","带宽利用率：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 当前、平均、峰值、95分位。","支持","带宽利用率：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 当前、平均、峰值、95分位。","支持","带宽利用率：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 当前、平均、峰值、95分位，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","带宽利用率：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 当前、平均、峰值、95分位。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","错误与丢弃","对错误与丢弃相关状态、指标和关系进行集中展示与持续跟踪。","接口错误","接口错误用于持续展示和跟踪CRC、Frame、Oversize、Undersize。","CRC、Frame、Oversize、Undersize","明确接口错误覆盖的具体对象、状态或指标，包括CRC、Frame、Oversize、Undersize。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：CRC、Frame、Oversize、Undersize","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：CRC、Frame、Oversize、Undersize","P0（核心）","支持","接口错误：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 CRC、Frame、Oversize、Undersize。","支持","接口错误：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 CRC、Frame、Oversize、Undersize。","支持","接口错误：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 CRC、Frame、Oversize、Undersize，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","接口错误：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 CRC、Frame、Oversize、Undersize。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","错误与丢弃","对错误与丢弃相关状态、指标和关系进行集中展示与持续跟踪。","接口丢弃","接口丢弃用于持续展示和跟踪In/Out Discard、Tail Drop。","In/Out Discard、Tail Drop","明确接口丢弃覆盖的具体对象、状态或指标，包括In/Out Discard、Tail Drop。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：In/Out Discard、Tail Drop","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：In/Out Discard、Tail Drop","P0（核心）","支持","接口丢弃：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 In/Out Discard、Tail Drop。","支持","接口丢弃：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 In/Out Discard、Tail Drop。","支持","接口丢弃：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 In/Out Discard、Tail Drop，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","接口丢弃：内置 Telemetry 已公开覆盖端口、带宽、设备资源、BGP/OSPF 邻居、MAC/ARP/路由表及历史查询；具体字段未核验完整覆盖 In/Out Discard、Tail Drop。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","接口与链路监控","监控接口、链路、光模块的状态、流量、错误和质量指标。","链路质量","对链路质量相关状态、指标和关系进行集中展示与持续跟踪。","时延监控","时延监控用于持续展示和跟踪单向时延、RTT、逐跳时延。","单向时延、RTT、逐跳时延","明确时延监控覆盖的具体对象、状态或指标，包括单向时延、RTT、逐跳时延。","接口计数器、链路状态、光模块 DOM、错误与质量指标；具体范围：单向时延、RTT、逐跳时延","链路质量巡检、光模块劣化定位、丢包与带宽排障；关注：单向时延、RTT、逐跳时延","P0（核心）","部分支持","时延监控：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","部分支持","时延监控：CloudVision 可提供部分遥测、事件或配置证据；覆盖 单向时延、RTT、逐跳时延 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","时延监控：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 单向时延、RTT、逐跳时延，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","时延监控：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 单向时延、RTT、逐跳时延；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
